01000001,[['Toán', '8.4'], ['Văn', '8.5'], ['Sử', '6.75'], ['Địa', '6'], ['Ngoại ngữ', '9.2'], ['GDCD', '9']]
01000069,[['Toán', '7.6'], ['Văn', '9'], ['Sử', '7.25'], ['Địa', '6.75'], ['Ngoại ngữ', '9.6'], ['GDCD', '9.5']]
01000070,[['Toán', '8.6'], ['Văn', '8.5'], ['Sử', '5.25'], ['Địa', '7.75'], ['Ngoại ngữ', '8.2'], ['GDCD', '8.5']]
01000071,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '5.5'], ['Địa', '6.25'], ['Ngoại ngữ', '9'], ['GDCD', '9']]
01000072,[['Toán', '7'], ['Lí', '7.25'], ['Hóa', '4.75'], ['Sinh', '6.5'], ['Văn', '5.5'], ['Ngoại ngữ', '9.8']]
01000073,[['Toán', '7.4'], ['Văn', '7.75'], ['Sử', '6'], ['Địa', '7'], ['Ngoại ngữ', '5.6'], ['GDCD', '8']]
01000074,[['Toán', '8'], ['Văn', '9'], ['Sử', '6.25'], ['Địa', '5.75'], ['Ngoại ngữ', '8'], ['GDCD', '7.75']]
01000075,[['Toán', '7.8'], ['Lí', '8'], ['Hóa', '5.25'], ['Sinh', '6'], ['Văn', '8.5'], ['Ngoại ngữ', '9.2']]
01000076,[['Toán', '8.2'], ['Lí', '7'], ['Hóa', '8.5'], ['Sinh', '8.25'], ['Văn', '8'], ['Ngoại ngữ', '8.6']]
01000077,[['Toán', '6.6'], ['Văn', '7.75'], ['Sử', '5.75'], ['Địa', '5.5'], ['Ngoại ngữ', '6.2'], ['GDCD', '7.25']]
01000078,[['Toán', '3.4'], ['Văn', '6.5'], ['Sử', '4.25'], ['Địa', '6.25']]
01000079,[['Toán', '6'], ['Văn', '8.75'], ['Sử', '8'], ['Địa', '6'], ['Ngoại ngữ', '6.8'], ['GDCD', '8']]
01000080,[['Toán', '7.6'], ['Lí', '7.75'], ['Hóa', '7.25'], ['Sinh', '7.75'], ['Văn', '8.25'], ['Ngoại ngữ', '8.4']]
01000081,[['Toán', '7.6'], ['Văn', '8.75'], ['Sử', '7.25'], ['Địa', '5.5'], ['Ngoại ngữ', '8.4'], ['GDCD', '8.5']]
01000082,[['Toán', '9.2'], ['Lí', '7.75'], ['Hóa', '7'], ['Sinh', '8'], ['Văn', '8.75'], ['Ngoại ngữ', '9.2']]
01000083,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '7.75'], ['Địa', '7.75'], ['Ngoại ngữ', '9.6'], ['GDCD', '9.5']]
01000084,[['Toán', '7.6'], ['Văn', '9.5'], ['Sử', '7'], ['Địa', '6.5'], ['Ngoại ngữ', '8'], ['GDCD', '8.5']]
01000085,[['Văn', '5.5'], ['Sử', '3'], ['Địa', '6']]
01000086,[['Văn', '6'], ['Sử', '7'], ['Địa', '6.25']]
01000087,[['Toán', '6.8'], ['Văn', '6.25'], ['Sử', '4.25'], ['Địa', '5'], ['Ngoại ngữ', '7.6'], ['GDCD', '8']]
01000088,[['Toán', '6.2'], ['Văn', '8.5'], ['Ngoại ngữ', '6.6']]
01000089,[['Toán', '8.2'], ['Văn', '8.75'], ['Sử', '7.75'], ['Địa', '7'], ['Ngoại ngữ', '9.4'], ['GDCD', '9.5']]
01000090,[['Toán', '7'], ['Văn', '8.5'], ['Sử', '4.75'], ['Địa', '5.25'], ['Ngoại ngữ', '7'], ['GDCD', '8.25']]
01000091,[['Toán', '6.6'], ['Văn', '8.5'], ['Sử', '6.5'], ['Địa', '4.25'], ['Ngoại ngữ', '8.4'], ['GDCD', '9']]
01000092,[['Toán', '7.8'], ['Văn', '8.5'], ['Sử', '5.25'], ['Địa', '6.25'], ['Ngoại ngữ', '9'], ['GDCD', '9']]
01000093,[['Toán', '2.4'], ['Văn', '6.25'], ['Sử', '4.25'], ['Địa', '4.5']]
01000094,[['Toán', '7.6'], ['Văn', '9'], ['Sử', '7.25'], ['Địa', '6.5'], ['Ngoại ngữ', '9.2'], ['GDCD', '9.25']]
01000095,[['Toán', '8.2'], ['Văn', '9.5'], ['Sử', '6.5'], ['Địa', '7'], ['Ngoại ngữ', '8.6'], ['GDCD', '9']]
01000096,[['Toán', '8'], ['Văn', '9.25'], ['Sử', '6'], ['Địa', '7.25'], ['Ngoại ngữ', '7.4'], ['GDCD', '8.25']]
01000097,[['Toán', '8.4'], ['Văn', '8.25'], ['Sử', '7.25'], ['Địa', '8'], ['Ngoại ngữ', '9.6'], ['GDCD', '9.25']]
01000098,[['Toán', '8.2'], ['Văn', '9.25'], ['Sử', '7.5'], ['Địa', '6.75'], ['Ngoại ngữ', '9.4'], ['GDCD', '8.75']]
01000099,[['Toán', '8.6'], ['Văn', '9.5'], ['Sử', '7'], ['Địa', '8'], ['Ngoại ngữ', '9.2'], ['GDCD', '9.25']]
01000100,[['Toán', '7'], ['Văn', '9.25'], ['Sử', '7'], ['Địa', '6.25'], ['Ngoại ngữ', '8.8'], ['GDCD', '9.75']]
01000101,[['Toán', '6.6'], ['Văn', '8.25'], ['Sử', '7.25'], ['Địa', '6.75'], ['Ngoại ngữ', '8'], ['GDCD', '9.75']]
01000102,[['Toán', '6.8'], ['Văn', '9'], ['Sử', '4.25'], ['Địa', '5.5'], ['Ngoại ngữ', '6.8'], ['GDCD', '7.5']]
01000103,[['Toán', '8'], ['Văn', '9'], ['Sử', '7.75'], ['Địa', '6.75'], ['Ngoại ngữ', '9'], ['GDCD', '8.5']]
01000104,[['Toán', '3'], ['Văn', '3.25'], ['Sử', '4.5'], ['Địa', '4.75']]
01000105,[['Toán', '7.6'], ['Văn', '8.5'], ['Sử', '6'], ['Địa', '5.75'], ['Ngoại ngữ', '6.6'], ['GDCD', '9.5']]
01000106,[['Toán', '4.4'], ['Văn', '6.5'], ['Sử', '6.75'], ['Địa', '6.25']]
01000107,[['Toán', '6.8'], ['Văn', '8.25'], ['Sử', '4.25'], ['Địa', '6.75'], ['Ngoại ngữ', '6.6'], ['GDCD', '7.75']]
01000108,[['Toán', '7.6'], ['Lí', '6.75'], ['Hóa', '8.25'], ['Sinh', '5.5'], ['Văn', '8.5'], ['Ngoại ngữ', '8']]
01000109,[['Toán', '6.6'], ['Văn', '8.75'], ['Sử', '4.5'], ['Địa', '6'], ['Ngoại ngữ', '5.8'], ['GDCD', '9.25']]
01000110,[['Toán', '8.4'], ['Lí', '7.5'], ['Ngoại ngữ', '8']]
01000111,[['Toán', '3.6'], ['Văn', '4.5'], ['Sử', '4.5'], ['Địa', '5.25']]
01000112,[['Toán', '7.4'], ['Văn', '9.25'], ['Sử', '4.25'], ['Địa', '6'], ['Ngoại ngữ', '7.2'], ['GDCD', '7.5']]
01000113,[['Toán', '8.2'], ['Lí', '7.5'], ['Hóa', '8'], ['Sinh', '6.25'], ['Văn', '6.5'], ['Ngoại ngữ', '6.8']]
01000114,[['Toán', '5.2'], ['Văn', '8.75'], ['Sử', '8.25'], ['Địa', '7.5'], ['Ngoại ngữ', '7.2'], ['GDCD', '8']]
01000115,[['Toán', '6.6'], ['Văn', '6.5'], ['Sử', '3.5'], ['Địa', '5'], ['Ngoại ngữ', '7'], ['GDCD', '7.75']]
01000116,[['Toán', '7.2'], ['Lí', '5'], ['Hóa', '7'], ['Sinh', '5.5'], ['Văn', '7.25'], ['Ngoại ngữ', '8']]
01000117,[['Toán', '3.4'], ['Văn', '7.75'], ['Sử', '4.25'], ['Địa', '3.75']]
01000118,[['Toán', '6.6'], ['Văn', '8.5'], ['Sử', '5.75'], ['Địa', '5.5'], ['Ngoại ngữ', '8.2'], ['GDCD', '8.25']]
01000119,[['Toán', '6.8'], ['Văn', '8.75'], ['Sử', '6'], ['Địa', '5'], ['Ngoại ngữ', '8.4'], ['GDCD', '8']]
01000120,[['Toán', '7.6'], ['Văn', '9.5'], ['Sử', '6.25'], ['Địa', '6.75'], ['Ngoại ngữ', '9.2'], ['GDCD', '9']]
01000121,[['Toán', '7.4'], ['Văn', '9.25'], ['Sử', '5'], ['Địa', '5.25'], ['Ngoại ngữ', '7.8'], ['GDCD', '8.75']]
01000122,[['Toán', '5'], ['Lí', '5.5'], ['Hóa', '3.5'], ['Sinh', '5'], ['Văn', '7'], ['Ngoại ngữ', '3.8']]
01000123,[['Toán', '7.8'], ['Lí', '4.5'], ['Hóa', '7.25'], ['Sinh', '6'], ['Văn', '8.25'], ['Ngoại ngữ', '8']]
01000124,[['Toán', '7.8'], ['Lí', '8.25'], ['Hóa', '4.75'], ['Sinh', '6.75'], ['Văn', '6.25'], ['Ngoại ngữ', '8.2']]
01000125,[['Toán', '6.6'], ['Văn', '8.75'], ['Sử', '6.5'], ['Địa', '7.5'], ['Ngoại ngữ', '9.4'], ['GDCD', '8']]
01000126,[['Toán', '4.8'], ['Văn', '6.25'], ['Sử', '5.75'], ['Địa', '6']]
01000127,[['Toán', '8.2'], ['Lí', '7.75'], ['Hóa', '3.25'], ['Sinh', '6.25'], ['Văn', '6.75'], ['Ngoại ngữ', '7.6']]
01000128,[['Toán', '6.8'], ['Văn', '7.5'], ['Sử', '4.5'], ['Địa', '6'], ['Ngoại ngữ', '8.2'], ['GDCD', '5.75']]
01000129,[['Toán', '7.8'], ['Lí', '6.75'], ['Hóa', '7.25'], ['Sinh', '8'], ['Văn', '8'], ['Ngoại ngữ', '9']]
01000130,[['Toán', '6.6'], ['Văn', '8.75'], ['Sử', '6.5'], ['Địa', '6.75'], ['GDCD', '9.25']]
01000131,[['Toán', '8.4'], ['Văn', '9.25'], ['Sử', '7.5'], ['Địa', '6.75'], ['Ngoại ngữ', '8.8'], ['GDCD', '8.25']]
01000132,[['Toán', '6.6'], ['Lí', '7.5'], ['Hóa', '5.5'], ['Sinh', '5.25'], ['Văn', '8'], ['Ngoại ngữ', '7.6']]
01000133,[['Toán', '8.8'], ['Văn', '8.5'], ['Sử', '5.25'], ['Địa', '6.75'], ['Ngoại ngữ', '8.2'], ['GDCD', '8.75']]
01000134,[['Toán', '7'], ['Lí', '6.25'], ['Hóa', '7.25'], ['Sinh', '8'], ['Văn', '7.5'], ['Ngoại ngữ', '6.6']]
01000135,[['Toán', '8'], ['Văn', '8.5'], ['Sử', '5.75'], ['Địa', '6.25'], ['Ngoại ngữ', '9.2'], ['GDCD', '8.5']]
01000136,[['Toán', '7.8'], ['Văn', '8.5'], ['Sử', '4.25'], ['Địa', '4.75'], ['Ngoại ngữ', '6.6'], ['GDCD', '8']]
01000137,[['Toán', '7.8'], ['Văn', '8.25'], ['Sử', '6.75'], ['Địa', '7'], ['Ngoại ngữ', '8'], ['GDCD', '8.5']]
01000138,[['Toán', '7.4'], ['Văn', '8.25'], ['Sử', '5'], ['Địa', '7.25'], ['Ngoại ngữ', '8.4'], ['GDCD', '8.5']]
01000139,[['Toán', '8.2'], ['Văn', '8.5'], ['Sử', '6.75'], ['Địa', '5'], ['Ngoại ngữ', '8'], ['GDCD', '9.25']]
01000140,[['Toán', '8.2'], ['Văn', '7'], ['Sử', '5.75'], ['Địa', '6.75'], ['Ngoại ngữ', '7.2'], ['GDCD', '8']]
01000141,[['Toán', '8.4'], ['Lí', '8'], ['Hóa', '6'], ['Sinh', '5.75'], ['Văn', '8.25'], ['Ngoại ngữ', '8.8']]
01000142,[['Toán', '4.8'], ['Văn', '5'], ['Sử', '4.25'], ['Địa', '6.25']]
01000143,[['Toán', '8'], ['Văn', '8.75'], ['Sử', '4'], ['Địa', '5'], ['Ngoại ngữ', '9'], ['GDCD', '8.5']]
01000144,[['Văn', '6.5'], ['Sử', '6.25'], ['Địa', '5']]
01000145,[['Toán', '7.2'], ['Lí', '7'], ['Hóa', '3.75'], ['Sinh', '6.25'], ['Văn', '8'], ['Ngoại ngữ', '8.4']]
01000146,[['Toán', '4'], ['Văn', '6'], ['Sử', '2.75'], ['Địa', '4.75']]
01000147,[['Toán', '7.6'], ['Văn', '8.5'], ['Sử', '7'], ['Địa', '7.5'], ['Ngoại ngữ', '9.4'], ['GDCD', '9.25']]
01000148,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '7.5'], ['Địa', '7.75'], ['Ngoại ngữ', '9.2'], ['GDCD', '9.5']]
01000149,[['Toán', '7.8'], ['Văn', '8.75'], ['Sử', '4.25'], ['Địa', '5'], ['Ngoại ngữ', '8.4'], ['GDCD', '8.25']]
01000150,[['Toán', '8'], ['Lí', '8.75'], ['Hóa', '6.75'], ['Sinh', '8.25'], ['Văn', '6.25'], ['Ngoại ngữ', '9.2']]
01000151,[['Toán', '8.4'], ['Văn', '9.25'], ['Sử', '7.5'], ['Địa', '8.5'], ['Ngoại ngữ', '9.2'], ['GDCD', '10']]
01000152,[['Toán', '8.4'], ['Lí', '7.5'], ['Hóa', '5.75'], ['Sinh', '5.25'], ['Văn', '7.25'], ['Ngoại ngữ', '9']]
01000153,[['Toán', '7.8'], ['Văn', '9'], ['Sử', '6.75'], ['Địa', '6'], ['Ngoại ngữ', '8'], ['GDCD', '7.5']]
01000154,[['Toán', '7.6'], ['Lí', '8'], ['Hóa', '5.25'], ['Sinh', '3.75'], ['Văn', '7.5'], ['Ngoại ngữ', '9']]
01000155,[['Toán', '6.6'], ['Văn', '8'], ['Sử', '6.75'], ['Địa', '6'], ['Ngoại ngữ', '9'], ['GDCD', '8.5']]
01000156,[['Toán', '8'], ['Lí', '6.5'], ['Hóa', '5.75'], ['Sinh', '6.25'], ['Văn', '7.25'], ['Ngoại ngữ', '7.8']]
01000157,[['Toán', '8.8'], ['Văn', '6.75'], ['Sử', '6'], ['Địa', '8'], ['GDCD', '8.5']]
01000158,[['Toán', '4.4'], ['Văn', '7'], ['Sử', '4.25'], ['Địa', '4.75'], ['Ngoại ngữ', '3.2'], ['GDCD', '7.25']]
01000159,[['Toán', '8'], ['Văn', '8'], ['Sử', '7.75'], ['Địa', '7.75'], ['Ngoại ngữ', '9.4'], ['GDCD', '8']]
01000160,[['Toán', '7.8'], ['Lí', '9'], ['Hóa', '9.5'], ['Sinh', '6.5'], ['Văn', '7'], ['Ngoại ngữ', '8']]
01000161,[['Toán', '7.6'], ['Văn', '9.25'], ['Sử', '7.25'], ['Địa', '7.25'], ['Ngoại ngữ', '8.6'], ['GDCD', '9.25']]
01000162,[['Toán', '7.4'], ['Văn', '8.25'], ['Sử', '3.75'], ['Địa', '4.5'], ['Ngoại ngữ', '7.6'], ['GDCD', '8']]
01000163,[['Toán', '8'], ['Văn', '9.5'], ['Sử', '7.75'], ['Địa', '7'], ['Ngoại ngữ', '9.2'], ['GDCD', '9']]
01000164,[['Toán', '8.4'], ['Văn', '8.75'], ['Sử', '8'], ['Địa', '7'], ['Ngoại ngữ', '9.6'], ['GDCD', '9.25']]
01000165,[['Toán', '7.8'], ['Văn', '9.25'], ['Sử', '7.75'], ['Địa', '7.5'], ['Ngoại ngữ', '9.2'], ['GDCD', '9']]
01000166,[['Toán', '4.2'], ['Văn', '6.75'], ['Sử', '4.25'], ['Địa', '6'], ['Ngoại ngữ', '6.4'], ['GDCD', '7.25']]
01000167,[['Toán', '6'], ['Văn', '8.25'], ['Sử', '5.25'], ['Địa', '5.5'], ['Ngoại ngữ', '8'], ['GDCD', '8.25']]
01000168,[['Toán', '8.6'], ['Văn', '9.25'], ['Sử', '8.25'], ['Địa', '7.25'], ['Ngoại ngữ', '9.6'], ['GDCD', '9.25']]
01000169,[['Toán', '7.8'], ['Văn', '8'], ['Sử', '4'], ['Địa', '5'], ['Ngoại ngữ', '6.8'], ['GDCD', '6.75']]
01000170,[['Toán', '7.4'], ['Văn', '9'], ['Sử', '8'], ['Địa', '6.5'], ['Ngoại ngữ', '6.4'], ['GDCD', '9.75']]
01000171,[['Toán', '6.2'], ['Văn', '8.5'], ['Sử', '6.5'], ['Địa', '4.75'], ['Ngoại ngữ', '5.4'], ['GDCD', '8.75']]
01000172,[['Toán', '8.6'], ['Văn', '9'], ['Sử', '7'], ['Địa', '6.25'], ['Ngoại ngữ', '9.4'], ['GDCD', '8']]
01000173,[['Toán', '8.4'], ['Lí', '7'], ['Hóa', '8.25'], ['Sinh', '6'], ['Văn', '6.25'], ['Ngoại ngữ', '5']]
01000174,[['Toán', '7.2'], ['Văn', '7'], ['Sử', '6.5'], ['Địa', '6.75'], ['Ngoại ngữ', '6'], ['GDCD', '8.75']]
01000175,[['Toán', '8.2'], ['Văn', '8.25'], ['Sử', '7.5'], ['Địa', '6.5'], ['Ngoại ngữ', '9'], ['GDCD', '9.25']]
01000176,[['Toán', '6.4'], ['Văn', '7.75'], ['Sử', '4.75'], ['Địa', '5.75'], ['Ngoại ngữ', '6'], ['GDCD', '8']]
01000177,[['Toán', '8.8'], ['Văn', '8.75'], ['Sử', '6'], ['Địa', '4.5'], ['Ngoại ngữ', '8.4'], ['GDCD', '9.25']]
01000178,[['Toán', '8'], ['Văn', '9'], ['Sử', '5'], ['Địa', '6.25'], ['Ngoại ngữ', '9.2'], ['GDCD', '8']]
01000179,[['Toán', '8'], ['Văn', '7.75'], ['Sử', '5.5'], ['Địa', '7'], ['Ngoại ngữ', '7'], ['GDCD', '8.5']]
01000180,[['Toán', '8.2'], ['Văn', '7.75'], ['Sử', '6.75'], ['Địa', '7'], ['Ngoại ngữ', '9'], ['GDCD', '8.75']]
01000181,[['Toán', '5.2'], ['Văn', '7.5'], ['Sử', '7'], ['Địa', '5.5'], ['Ngoại ngữ', '9.4'], ['GDCD', '8.5']]
